time,Frequency(Kmph),Weight(Kg),fiber1_sensor1,Temperature,change in Bragg Wavelength
2.574,10,0,1538.708,19.831,2.70E-10
2.584,10,0,1538.7081,19.838,2.70E-10
2.594,10,0,1538.708,19.831,2.70E-10
2.604,10,0,1538.708,19.831,2.70E-10
2.614,10,0,1538.7081,19.838,2.70E-10
2.624,10,0,1538.7081,19.838,2.70E-10
2.634,10,0,1538.7081,19.838,2.70E-10
2.644,10,0,1538.7082,19.846,2.70E-10
2.654,10,0,1538.7082,19.846,2.70E-10
2.664,10,0,1538.7082,19.846,2.70E-10
2.674,10,0,1538.7083,19.853,2.70E-10
2.684,10,0,1538.7082,19.846,2.70E-10
2.694,10,0,1538.7085,19.868,2.70E-10
2.704,10,0,1538.7083,19.853,2.70E-10
2.714,10,0,1538.7084,19.86,2.70E-10
2.724,10,0,1538.7083,19.853,2.70E-10
2.734,10,0,1538.7084,19.86,2.70E-10
2.744,10,0,1538.7085,19.868,2.70E-10
2.754,10,0,1538.7085,19.868,2.70E-10
2.764,10,0,1538.7086,19.875,2.71E-10
2.774,10,0,1538.7085,19.868,2.70E-10
2.784,10,0,1538.7086,19.875,2.71E-10
2.794,10,0,1538.7086,19.875,2.71E-10
2.804,10,0,1538.7086,19.875,2.71E-10
2.814,10,0,1538.7087,19.882,2.71E-10
2.824,10,0,1538.7087,19.882,2.71E-10
2.834,10,0,1538.7087,19.882,2.71E-10
2.844,10,0,1538.7088,19.89,2.71E-10
2.854,10,0,1538.7089,19.897,2.71E-10
2.864,10,0,1538.7088,19.89,2.71E-10
2.874,10,0,1538.7089,19.897,2.71E-10
2.884,10,0,1538.7088,19.89,2.71E-10
2.894,10,0,1538.7089,19.897,2.71E-10
2.904,10,0,1538.7089,19.897,2.71E-10
2.914,10,0,1538.709,19.904,2.71E-10
2.924,10,0,1538.709,19.904,2.71E-10
2.934,10,0,1538.7091,19.912,2.71E-10
2.944,10,0,1538.7091,19.912,2.71E-10
2.954,10,0,1538.7092,19.919,2.71E-10
2.964,10,0,1538.7093,19.926,2.71E-10
2.974,10,0,1538.7093,19.926,2.71E-10
2.984,10,0,1538.7093,19.926,2.71E-10
2.994,10,0,1538.7093,19.926,2.71E-10
3.004,10,0,1538.7093,19.926,2.71E-10
3.014,10,0,1538.7093,19.926,2.71E-10
3.024,10,0,1538.7093,19.926,2.71E-10
3.034,10,0,1538.7093,19.926,2.71E-10
3.044,10,0,1538.7094,19.934,2.71E-10
3.054,10,0,1538.7094,19.934,2.71E-10
3.064,10,0,1538.7095,19.941,2.71E-10
3.074,10,0,1538.7096,19.948,2.72E-10
3.084,10,0,1538.7096,19.948,2.72E-10
3.094,10,0,1538.7096,19.948,2.72E-10
3.104,10,0,1538.7096,19.948,2.72E-10
3.114,10,0,1538.7097,19.956,2.72E-10
3.124,10,0,1538.7096,19.948,2.72E-10
3.134,10,0,1538.7097,19.956,2.72E-10
3.144,10,0,1538.7099,19.97,2.72E-10
3.154,10,0,1538.7097,19.956,2.72E-10
3.164,10,0,1538.7098,19.963,2.72E-10
3.174,10,0,1538.7099,19.97,2.72E-10
3.184,10,0,1538.7098,19.963,2.72E-10
3.194,10,0,1538.7099,19.97,2.72E-10
3.204,10,0,1538.71,19.978,2.72E-10
3.214,10,0,1538.7099,19.97,2.72E-10
3.224,10,0,1538.7101,19.985,2.72E-10
3.234,10,0,1538.7101,19.985,2.72E-10
3.244,10,0,1538.7101,19.985,2.72E-10
3.254,10,0,1538.7102,19.992,2.72E-10
3.264,10,0,1538.7102,19.992,2.72E-10
3.274,10,0,1538.7102,19.992,2.72E-10
3.284,10,0,1538.7103,20,2.72E-10
3.294,10,0,1538.7103,20,2.72E-10
3.304,10,0,1538.7104,20.007,2.72E-10
3.314,10,0,1538.7104,20.007,2.72E-10
3.324,10,0,1538.7103,20,2.72E-10
3.334,10,0,1538.7104,20.007,2.72E-10
3.344,10,0,1538.7105,20.014,2.72E-10
3.354,10,0,1538.7105,20.014,2.72E-10
3.364,10,0,1538.7105,20.014,2.72E-10
3.374,10,0,1538.7105,20.014,2.72E-10
3.384,10,0,1538.7105,20.014,2.72E-10
3.394,10,0,1538.7106,20.022,2.73E-10
3.404,10,0,1538.7107,20.029,2.73E-10
3.414,10,0,1538.7107,20.029,2.73E-10
3.424,10,0,1538.7108,20.036,2.73E-10
3.434,10,0,1538.7109,20.044,2.73E-10
3.444,10,0,1538.7109,20.044,2.73E-10
3.454,10,0,1538.711,20.051,2.73E-10
3.464,10,0,1538.7109,20.044,2.73E-10
3.474,10,0,1538.7111,20.058,2.73E-10
3.484,10,0,1538.7111,20.058,2.73E-10
3.494,10,0,1538.7112,20.066,2.73E-10
3.504,10,0,1538.7111,20.058,2.73E-10
3.514,10,0,1538.7113,20.073,2.73E-10
3.524,10,0,1538.7112,20.066,2.73E-10
3.534,10,0,1538.7112,20.066,2.73E-10
3.544,10,0,1538.7114,20.081,2.73E-10
3.554,10,0,1538.7114,20.081,2.73E-10
3.564,10,0,1538.7114,20.081,2.73E-10
3.574,10,0,1538.7115,20.088,2.73E-10
3.584,10,0,1538.7115,20.088,2.73E-10
3.594,10,0,1538.7115,20.088,2.73E-10
3.604,10,0,1538.7116,20.095,2.74E-10
3.614,10,0,1538.7115,20.088,2.73E-10
3.624,10,0,1538.7115,20.088,2.73E-10
3.634,10,0,1538.7116,20.095,2.74E-10
3.644,10,0,1538.7116,20.095,2.74E-10
3.654,10,0,1538.7116,20.095,2.74E-10
3.664,10,0,1538.7118,20.11,2.74E-10
3.674,10,0,1538.7117,20.103,2.74E-10
3.684,10,0,1538.7117,20.103,2.74E-10
3.694,10,0,1538.7117,20.103,2.74E-10
3.704,10,0,1538.7116,20.095,2.74E-10
3.714,10,0,1538.7117,20.103,2.74E-10
3.724,10,0,1538.7117,20.103,2.74E-10
3.734,10,0,1538.7117,20.103,2.74E-10
3.744,10,0,1538.7119,20.117,2.74E-10
3.754,10,0,1538.712,20.125,2.74E-10
3.764,10,0,1538.712,20.125,2.74E-10
3.774,10,0,1538.7121,20.132,2.74E-10
3.784,10,0,1538.7122,20.139,2.74E-10
3.794,10,0,1538.7121,20.132,2.74E-10
3.804,10,0,1538.7122,20.139,2.74E-10
3.814,10,0,1538.7122,20.139,2.74E-10
3.824,10,0,1538.7122,20.139,2.74E-10
3.834,10,0,1538.7123,20.147,2.74E-10
3.844,10,0,1538.7124,20.154,2.74E-10
3.854,10,0,1538.7125,20.161,2.74E-10
3.864,10,0,1538.7126,20.169,2.75E-10
3.874,10,0,1538.7126,20.169,2.75E-10
3.884,10,0,1538.7126,20.169,2.75E-10
3.894,10,0,1538.7128,20.183,2.75E-10
3.904,10,0,1538.7126,20.169,2.75E-10
3.914,10,0,1538.7126,20.169,2.75E-10
3.924,10,0,1538.7128,20.183,2.75E-10
3.934,10,0,1538.7128,20.183,2.75E-10
3.944,10,0,1538.7128,20.183,2.75E-10
3.954,10,0,1538.7129,20.191,2.75E-10
3.964,10,0,1538.713,20.198,2.75E-10
3.974,10,0,1538.713,20.198,2.75E-10
3.984,10,0,1538.7131,20.205,2.75E-10
3.994,10,0,1538.7131,20.205,2.75E-10
4.004,10,0,1538.7133,20.22,2.75E-10
4.014,10,0,1538.7134,20.227,2.75E-10
4.024,10,0,1538.7134,20.227,2.75E-10
4.034,10,0,1538.7134,20.227,2.75E-10
4.044,10,0,1538.7135,20.235,2.75E-10
4.054,10,0,1538.7135,20.235,2.75E-10
4.064,10,0,1538.7135,20.235,2.75E-10
4.074,10,0,1538.7136,20.242,2.76E-10
4.084,10,0,1538.7136,20.242,2.76E-10
4.094,10,0,1538.7136,20.242,2.76E-10
4.104,10,0,1538.7137,20.249,2.76E-10
